,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000005,3.32345707149864,-3.03265762384826,0.815635249845238,-3.7181541926047,0.000200683769456709,0.0016401042119321
ENSG00000001626,469.975357213895,5.26064980241166,0.871207619387021,6.03834227955104,1.55705514253046e-09,6.8290582993444e-08
ENSG00000002587,100.607320884276,2.41585931136073,0.343929490773859,7.02428659410661,2.15162760161169e-12,1.95838599362823e-10
ENSG00000004799,8005.43335402261,-2.18031401167904,0.453928847275191,-4.803206548266,1.56144665779848e-06,2.821185826382e-05
ENSG00000005001,95.0850800975738,2.89071461556611,0.918949131908818,3.14567424375449,0.00165704456459781,0.00932146069325755
ENSG00000005471,6452.20888201508,-2.96523114911294,0.428969557173594,-6.91245124397715,4.76349746657387e-12,3.87709761347896e-10
ENSG00000005884,1114.58487747632,3.32858136858127,0.420360312867477,7.91840063557723,2.40585092169689e-15,4.87782672800808e-13
ENSG00000005981,113.975327433482,-3.01996796980896,0.549757611577318,-5.49327177325354,3.94554897986095e-08,1.18328027377424e-06
ENSG00000006606,18.945707987047,2.18842428492619,0.613526492634155,3.56695971763219,0.000361146970552922,0.0026763132580327
ENSG00000007001,519.566866922372,-4.04494769055941,0.695749182449568,-5.81380157187984,6.10697996921297e-09,2.28482027378543e-07
ENSG00000007062,307.432563174258,3.22331978799258,0.867967208035343,3.71364235670679,0.000204297457752957,0.00166481531216784
ENSG00000007306,84.285117747729,6.05672057265159,1.53550393825427,3.94445134379631,7.99828907293822e-05,0.000766744251757121
ENSG00000007314,94.2897800269671,-2.05328848298599,0.353806818844186,-5.80341693157204,6.49769508606838e-09,2.40706190283577e-07
ENSG00000007933,16668.71037173,-2.67109186392733,0.42252567704453,-6.32172672347633,2.58656516159776e-10,1.3696782107106e-08
ENSG00000008311,963.7523531199,-2.36841451645198,0.472819944394574,-5.00912566089959,5.46778655224531e-07,1.13998636005218e-05
ENSG00000009724,9481.46473001344,-5.78236202199571,0.414311140908417,-13.9565689914042,2.86917312052481e-44,9.71473326878495e-40
ENSG00000009950,14510.1008522053,-2.06974396910515,0.274704658096556,-7.53443346554993,4.904595026312e-14,6.83393757184765e-12
ENSG00000010282,5.76201058568006,-2.08351017082467,0.652384316255698,-3.19368525408887,0.00140469177203429,0.00815233517731056
ENSG00000010379,382.738168963879,-3.40928395221699,0.458288716528571,-7.4391618847645,1.01326092058193e-13,1.33494169299547e-11
ENSG00000011083,9.47999660795215,-2.31659113916681,0.684918905079428,-3.38228529244373,0.000718854469262319,0.00469787559829239
ENSG00000011347,4327.24531481801,-3.59996247723237,0.512302185393871,-7.02702931955019,2.10977047083263e-12,1.92546410705989e-10
ENSG00000011422,358.44247397418,2.88749760621359,0.343264870705568,8.41186457640843,4.035436521626e-17,1.25353986408931e-14
ENSG00000011638,148.961561226551,2.13176419538572,0.36481539065229,5.84340532227582,5.11443715375284e-09,1.95230809006671e-07
ENSG00000013293,16.4316116210841,-2.36888472712208,0.730228206614977,-3.24403344826024,0.00117849906340363,0.00706869792520524
ENSG00000019186,6.9780633494562,3.95371926535426,1.11251584286591,3.55385434796977,0.000379629397926793,0.00279067993582355
ENSG00000019505,405.794798300952,4.02089307339409,0.903116926320452,4.45223974461017,8.49792077887971e-06,0.000118725023127127
ENSG00000021461,198.220263874524,-4.85225714682576,0.56944167273968,-8.52107841612774,1.58074459607689e-17,5.40630618975428e-15
ENSG00000021826,75641.1788880797,-3.30390042346685,0.541105183445934,-6.10583769023711,1.02262891184656e-09,4.67276549611508e-08
ENSG00000023330,12915.298452298,-2.06110189941429,0.314683686845749,-6.54975769501706,5.76305137363302e-11,3.54140029872669e-09
ENSG00000025423,20676.1734564855,-2.88968702047581,0.423811061116552,-6.81833790006043,9.20998167004078e-12,6.94522871639000e-10
ENSG00000029559,24.0162898088647,4.03189289651851,0.827614117979122,4.87170628065605,1.10638565722719e-06,2.09163104232582e-05
ENSG00000036473,4809.86360843097,-3.28235265011857,0.478172806196,-6.86436494837634,6.67876898966063e-12,5.19853883266481e-10
ENSG00000036828,27.426783314552,-2.89371497488546,0.829857229459073,-3.48700339306759,0.00048846516018298,0.00342350276519054
ENSG00000041353,179.383886149953,2.39294167291843,0.510292986668177,4.68934854179069,2.74076208653166e-06,4.59858590128223e-05
ENSG00000041982,1128.93525423354,3.0077355272388,0.42034409501155,7.15541282233583,8.34214902144946e-13,8.50773565413425e-11
ENSG00000042781,474.760545776194,-2.15639932714959,0.509107837049627,-4.23564355175973,2.27898052966844e-05,0.000269585315501472
ENSG00000042980,123.812478735891,2.54334167174476,0.45478425556585,5.59241363485703,2.23934551301443e-08,7.19646524139871e-07
ENSG00000046604,1864.79946107726,2.33546393399592,0.384437939781131,6.07500897368649,1.23980787847987e-09,5.57485457602255e-08
ENSG00000047617,58.2242286913683,-2.93809589262734,0.553016519494365,-5.31285375582217,1.07921646888478e-07,2.8326504201527e-06
ENSG00000049089,219.719656569895,2.52561588476785,0.480731440404765,5.25369400146023,1.49078487542057e-07,3.76409284838667e-06
ENSG00000053108,132.828727955784,2.30250656566538,0.57373352181795,4.01319859848799,5.99014742619688e-05,0.000602556154793821
ENSG00000054356,6.25258910970236,2.62865438531449,0.552526338690985,4.7575186941172,1.95987111909707e-06,3.4400868958791e-05
ENSG00000054803,62.8081718260489,-2.91759621695674,0.766498578343594,-3.80639481845051,0.000141007219810652,0.00122734279063467
ENSG00000055957,76343.5850020644,-2.32416129319032,0.350549307397999,-6.6300552993293,3.35561133927158e-11,2.21909461594524e-09
ENSG00000057149,10.3198131259475,6.42698399029902,1.4477543229377,4.43927805185742,9.02611431585521e-06,0.000125047137733446
ENSG00000057593,8003.48211927486,-2.63578675328021,0.317803557438987,-8.2937610092242,1.09722796035505e-16,3.04516733685752e-14
ENSG00000058085,407.141728097359,3.78683435207444,0.670482670283754,5.64792278743285,1.62398080685189e-08,5.40141121210198e-07
ENSG00000058404,206.081883116492,-2.58135037239461,0.622407506812275,-4.14736381573426,3.36325398937237e-05,0.000374963506177673
ENSG00000060140,8.78992225694903,2.34795762895717,0.597804441102755,3.92763497143974,8.57852799595539e-05,0.000814070570109455
ENSG00000060718,102.649267334208,2.86972668587387,0.770149160373316,3.72619595466782,0.000194391302822385,0.00159638494355157
ENSG00000060982,371.743488707118,2.10877465220695,0.386108202908072,5.46161577589955,4.71820385817737e-08,1.38075768741597e-06
ENSG00000062096,125.426890173889,-4.69747778480145,0.8710097653606,-5.39314020533017,6.92368855996525e-08,1.91392715371698e-06
ENSG00000062282,7869.0411284416,-2.30662635311784,0.347616062558703,-6.63555744846604,3.23278426404363e-11,2.1473839321268e-09
ENSG00000063015,166.853528062104,-5.68959132603569,0.848200353624625,-6.70783889881947,1.97527824216885e-11,1.37320095685059e-09
ENSG00000063854,8245.55291908228,-2.01953387646021,0.264734993614202,-7.62851124775471,2.37480127734299e-14,3.63838897961793e-12
ENSG00000064042,663.515919655381,2.16098196380979,0.371549238980252,5.81613885077732,6.02224485710814e-09,2.25561049354894e-07
ENSG00000064692,177.309926003026,2.08436474164323,0.473525803766707,4.40179758962014,1.0735768903508e-05,0.000144018383242423
ENSG00000064886,43.9804963210564,2.15813684210755,0.53281182390357,4.0504672480732,5.11154639603944e-05,0.000530407138901316
ENSG00000065618,21.7114859311844,2.86842707796555,0.451182748617786,6.35757259503622,2.04966814448162e-10,1.11575102418012e-08
ENSG00000065621,424.550844222593,-2.52657989476232,0.391251034984877,-6.45769510835922,1.06309647333296e-10,6.19541884519461e-09
ENSG00000066032,428.966738306072,-7.2679174971087,0.999108591067866,-7.27440196399533,3.4795846130743e-13,3.94030954562149e-11
ENSG00000066813,13263.9219413279,-2.98059883180474,0.414456470260327,-7.19158475178968,6.40435596164207e-13,6.75529870732831e-11
ENSG00000067057,995.780900166511,2.18164373389319,0.468641500958389,4.6552508248451,3.23586532941856e-06,5.31601961129467e-05
ENSG00000067225,9129.86427770639,2.5004715998867,0.386973381304462,6.46161136835247,1.03593871567719e-10,6.0475601679507e-09
ENSG00000067445,483.692975313375,-2.44112033751694,0.384075288340354,-6.35583806514963,2.0729331333887e-10,1.12299908741453e-08
ENSG00000069018,1.3360537262432,2.6357922992593,0.815931399249089,3.23040920068163,0.00123613160722483,0.00734155062077274
ENSG00000069431,1210.72229497979,-2.12349525918468,0.404320839530668,-5.25200546588104,1.50451996617809e-07,3.78747520705011e-06
ENSG00000072080,4311.76487640496,-4.30588125322995,0.565807310149995,-7.61015486365573,2.73767690635119e-14,4.10376919127458e-12
ENSG00000072195,123.868080634952,2.86876210016545,0.571167759212809,5.02262610921739,5.09697084025586e-07,1.07525442791416e-05
ENSG00000073146,54.8850776646943,-2.08391613211656,0.417254284153055,-4.99435526790696,5.90326420289851e-07,1.21432942069223e-05
ENSG00000073734,1786.22634192268,-3.75735178774908,0.554990305536745,-6.77012147827565,1.28674309010436e-11,9.32930070403505e-10
ENSG00000073754,604.042527513859,-3.7874660305324,0.652134165884368,-5.80780187370825,6.32983566531615e-09,2.3551857779334e-07
ENSG00000074047,38.858083540165,2.00111933021196,0.511312386151627,3.91369226408401,9.08954635510332e-05,0.000855610091847216
ENSG00000074803,123.518559688746,-5.84490451417948,0.921108804163786,-6.34550933370535,2.21690755490194e-10,1.18581789733688e-08
ENSG00000075223,121.937451976629,2.53822093200549,0.560357906846259,4.52964239639414,5.90836028947914e-06,8.73967544960569e-05
ENSG00000075461,199.957826319914,-3.45557640638052,0.794511733243709,-4.34930821257054,1.36567659918396e-05,0.000176643005315943
ENSG00000076716,408.922523849234,2.00529338649283,0.546422019162881,3.66986196779723,0.000242681476026277,0.00192569770254833
ENSG00000077063,158.043212672849,2.71921945823126,0.624108328911442,4.35696710373033,1.31877079315322e-05,0.000171541530101324
ENSG00000077080,8.35036420558902,-2.9819559087526,0.558071073781984,-5.34332641278865,9.12562182060005e-08,2.44256465789484e-06
ENSG00000077522,367.896108830521,-2.93612380759992,0.699720401376832,-4.19613863169138,2.71504098835024e-05,0.000312885398733686
ENSG00000078596,392.146642201339,2.43309981245489,0.366813297185036,6.63307418549641,3.28766464645876e-11,2.17841560204397e-09
ENSG00000078898,340.159294527045,-3.49249859935585,0.879315694837384,-3.97183698626206,7.13205198908721e-05,0.000695118446455106
ENSG00000079112,118.359058250856,3.38695397840981,0.928497257837752,3.64778027056021,0.000264515700417851,0.00207032757754231
ENSG00000080166,12.3463477058097,-2.42781145887324,0.604941854884606,-4.01329721074822,5.98764441355163e-05,0.000602483364631337
ENSG00000080293,384.916051737987,3.0033502264523,0.696871205075958,4.30976370465033,1.63429075030301e-05,0.000204870235151831
ENSG00000080618,24620.5105026125,-2.09062395708586,0.317451113593195,-6.58565639736559,4.52880082975545e-11,2.87154807667958e-09
ENSG00000080910,488.270287304662,-3.41095020520364,0.400791256549078,-8.51054046081955,1.73124480299022e-17,5.80378393905406e-15
ENSG00000081051,14216.137964594,-3.73827340801316,0.825329506435106,-4.5294314317685,5.91426235337697e-06,8.7445855468555e-05
ENSG00000081479,124.187160896335,-3.23605436929347,0.792712221352584,-4.08225618594839,4.46005924514783e-05,0.00047309882826272
ENSG00000082196,572.929604667935,-2.25851393540913,0.537913503767321,-4.19865632595471,2.68503463277806e-05,0.000310599889413161
ENSG00000082458,358.530861263466,2.13236381866781,0.417234405120124,5.11070945372757,3.20951258019753e-07,7.22545787585824e-06
ENSG00000082482,28.3897007116249,3.71009551510888,1.0632880842974,3.48926652136842,0.000484347967145275,0.00339987953269282
ENSG00000082929,20.5650537951274,3.23475826525146,0.795279479739256,4.0674484224238,4.75307243591675e-05,0.000498402847964401
ENSG00000083067,52.4789629536176,-2.58242572176031,0.574560078453815,-4.49461391175979,6.96962863586485e-06,0.000100504538322721
ENSG00000083807,21145.4275569848,-5.13376194461523,0.443164050681246,-11.5843375308161,4.9477690475586e-31,2.3932358883041e-27
ENSG00000084110,6327.86172600455,-2.44212447996581,0.551957205482036,-4.42448156435072,9.6674158493649e-06,0.000132040755644875
ENSG00000084453,307.102204943247,-2.25936671381374,0.459367423905617,-4.91843042461355,8.72409143554155e-07,1.70843847262002e-05
ENSG00000084636,534.927429660792,2.09891435487788,0.448388009532443,4.68102248556227,2.85447625137618e-06,4.77282525409117e-05
ENSG00000084731,208.610335330445,2.20778892991897,0.364133612660925,6.06312862409332,1.33498817081365e-09,5.96324069598672e-08
ENSG00000085831,627.686019349591,2.00911283915466,0.471599512236928,4.26020974793821,2.04235150543117e-05,0.000246443263087648
ENSG00000086159,69.4207130475076,-4.12253016852213,0.802107281159782,-5.13962441852079,2.75288161758101e-07,6.35377087182518e-06
ENSG00000086548,91.5028458468508,4.38347805211068,1.08485063312372,4.04062819181744,5.3308216294074e-05,0.000548287635328388
ENSG00000087076,1750.05113609629,-2.42530431648602,0.471299618564491,-5.14599252991789,2.66110011883538e-07,6.17138280298952e-06
ENSG00000087250,24.9303048566127,-3.15127374392812,0.866828658571843,-3.63540558190595,0.000277543633959815,0.00215387345914402
ENSG00000087494,174.051897434042,4.35850633752349,0.62369200372559,6.98823507674973,2.78365700435511e-12,2.42715962961082e-10
ENSG00000087510,24.9642688783887,3.44634605034776,0.85119817911307,4.04881746098045,5.1477073712278e-05,0.000532853023180685
ENSG00000089220,62342.6787189155,-2.18099364546443,0.215058810508168,-10.1413824446946,3.619407087679e-24,5.1062293575718e-21
ENSG00000090512,4627.49586513888,-3.70372419512666,0.53591046864597,-6.91108760103992,4.80951925110658e-12,3.89582565366549e-10
ENSG00000091138,96.7055588764514,-4.12497854319929,0.677394335322251,-6.08947894616945,1.13278760146603e-09,5.13454556867984e-08
ENSG00000091262,6523.3912006945,-2.06647984856657,0.255169249684538,-8.09846739417593,5.56558758982857e-16,1.26473308861749e-13
ENSG00000091490,1833.97453522138,2.58642413252274,0.430169353865541,6.01257181452116,1.82602894669730e-09,7.86609594226765e-08
ENSG00000091583,199431.931356903,-2.70834509797221,0.361377200290453,-7.49451015668782,6.65464151605259e-14,9.04897618843472e-12
ENSG00000091622,58.4153125561769,2.64702364447405,0.507124281591094,5.21967442806931,1.79237935434197e-07,4.4168975661328e-06
ENSG00000091704,13.0261839500224,-3.5356252118643,1.0717768658972,-3.29884449306953,0.000970836764123251,0.0060570410901878
ENSG00000091831,412.889100791172,-2.38350463894941,0.530027389416078,-4.4969461702258,6.89364320916737e-06,9.97060510120452e-05
ENSG00000091844,23.2066559415311,2.90027375999674,0.357878017253073,8.10408468857091,5.31440792450156e-16,1.22408529194353e-13
ENSG00000092009,9.30418851527676,-2.29287056018216,0.698235292763041,-3.28380788531738,0.00102414710151255,0.0063220777958274
ENSG00000092929,467.367318651099,2.24548244512732,0.357746817826315,6.27673632087342,3.45753703505009e-10,1.76574278234934e-08
ENSG00000092969,206.623283496671,2.03973839033037,0.467064666995828,4.36714342673365,1.25882069150992e-05,0.000164883596881371
ENSG00000095596,92.1988219625622,-2.86081763832883,0.653141976353508,-4.38008540547459,1.18632803337863e-05,0.000156783297744602
